Country Name,Score,Death Toll Avg., Death Toll Rank, Deaths per 100000 Avg., Deaths per 100000 Rank, Loss in $ Avg., Loss in $ Rank, Loss in % Avg., Loss in % Rank
Sri Lanka,64.50,38.45,54,0.20,68,146.61,61,0.207,68
St. Kitts and Nevis,57.33,0.20,160,0.42,41,43.55,94,6.314,4
St. Lucia,56.50,1.00,141,0.64,24,22.66,116,1.524,17
St. Vincent and the Grenadines,82.50,0.25,158,0.23,64,7.24,145,0.797,32
Sudan,100.00,35.55,55,0.11,95,41.41,99,0.054,128
Suriname,161.50,0.15,162,0.03,148,0.14,173,0.003,169
Swaziland,96.50,0.90,144,0.08,109,17.89,123,0.378,47
Sweden,129.50,1.25,133,0.01,160,138.06,64,0.050,130
Switzerland,48.50,56.15,45,0.76,22,389.23,34,0.149,84
Tajikistan,44.50,17.70,68,0.27,61,207.53,49,1.780,14
Tanzania,94.17,21.95,65,0.06,116,50.47,92,0.137,88
Thailand,31.50,160.35,21,0.26,63,5410.06,4,1.291,19
The Bahamas,49.17,1.20,135,0.38,43,181.31,54,2.217,10
The Gambia,73.00,4.80,100,0.35,49,7.83,142,0.353,49
Togo,142.17,2.20,124,0.04,137,1.16,161,0.025,147
Tonga,59.33,1.15,136,1.15,15,6.90,146,1.115,22
Trinidad and Tobago,142.33,0.85,145,0.07,115,2.10,157,0.011,161
Tunisia,151.17,3.65,114,0.04,140,0.70,165,0.001,174
Turkey,104.17,40.65,53,0.06,117,202.64,50,0.029,144
Turkmenistan,155.67,0.00,173,0.00,173,7.97,141,0.038,137
Uganda,83.67,32.45,60,0.12,93,41.42,98,0.166,79
Ukraine,81.00,65.45,41,0.14,88,251.90,41,0.086,114
United Arab Emirates,156.00,0.50,149,0.01,162,15.62,131,0.009,166
United Kingdom,68.67,117.35,25,0.20,69,1414.92,17,0.081,116
United States,44.83,486.05,10,0.17,78,38827.02,1,0.347,51
Uruguay,88.17,5.85,98,0.18,74,42.97,97,0.125,93
Uzbekistan,134.67,10.30,79,0.04,135,7.53,143,0.013,158
Vanuatu,126.50,0.10,167,0.05,130,1.22,160,0.144,86
Venezuela,64.00,68.90,40,0.27,58,344.15,36,0.111,96
Vietnam,24.00,419.70,13,0.52,33,1637.50,13,0.906,26
Zambia,115.33,4.80,100,0.04,133,17.07,124,0.104,101
Zimbabwe,97.67,9.25,82,0.08,111,11.55,136,0.195,73
